dpkg	1.23.7ubuntu1	amd64
dracut-install	110-11	amd64
e2fsprogs	1.47.2-3ubuntu4	amd64
eatmydata	131-2build1	amd64
ed	1.22.4-1	amd64
efibootmgr	18-4ubuntu1	amd64
eject	2.41.3-3ubuntu2	amd64
emacsen-common	3.0.8build1	amd64
enchant-2	2.8.2+dfsg1-3build1	amd64
espeak-ng-data:amd64	1.52.0+dfsg-5build1	amd64
ethtool	1:6.19-1	amd64
evolution-data-server	3.56.2-8	amd64
evolution-data-server-common	3.56.2-8	amd64
exfatprogs	1.3.2-1	amd64
fdisk	2.41.3-3ubuntu2	amd64
file	1:5.46-5build2	amd64
file-roller	44.6-3	amd64
finalrd	9build2	amd64
findutils	4.10.0-3build2	amd64
firefox	1:1snap1-0ubuntu8	amd64
firmware-sof-signed	2025.12.2-1	amd64
fontconfig	2.17.1-3ubuntu1	amd64
fontconfig-config	2.17.1-3ubuntu1	amd64
fonts-arphic-ukai	0.2.20080216.2-5build1	amd64
fonts-arphic-uming	0.2.20080216.2-11build1	amd64
fonts-dejavu-core	2.37-8build1	amd64
fonts-dejavu-mono	2.37-8build1	amd64
fonts-droid-fallback	1:8.1.0r7-1~1.gbp36536bbuild1	amd64
fonts-font-awesome	5.0.10+really4.7.0~dfsg-4.1build1	amd64
fonts-lato	2.015-1build1	amd64
fonts-liberation	1:2.1.5-3build1	amd64
fonts-liberation-sans-narrow	1:1.07.6-4build1	amd64
fonts-noto-cjk	1:20240730+repack1-1build1	amd64
fonts-noto-color-emoji	2.051-1build1	amd64
fonts-noto-core	20201225-2build1	amd64
fonts-noto-mono	20201225-2build1	amd64
fonts-opensymbol	4:102.12+LibO26.2.2.2-0ubuntu1	amd64
fonts-ubuntu	0.869+git20240321-0ubuntu2	amd64
fonts-urw-base35	20200910-8build1	amd64
foomatic-db-compressed-ppds	20250819-1build1	amd64
fprintd	1.94.5-4	amd64
friendly-recovery	0.2.42build1	amd64
ftp	20260211-1	amd64
fuse3	3.18.2-1	amd64
fwupd	2.1.1-1ubuntu3	amd64
fwupd-signed	1.55+1.7-1	amd64
gamemode	1.8.2-2build1	amd64
gamemode-daemon	1.8.2-2build1	amd64
gawk	1:5.3.2-1ubuntu1	amd64
gcc-15-base:amd64	15.2.0-16ubuntu1	amd64
gcc-16-base:amd64	16-20260322-1ubuntu1	amd64
gcr	3.41.2-6	amd64
gcr4	4.4.0.1-8	amd64
gdb	17.1-2ubuntu1	amd64
gdisk	1.0.10-2build1	amd64
gdm3	50.0-0ubuntu1	amd64
geoclue-2.0	2.7.2-2ubuntu3	amd64
geocode-glib-common	3.26.4-3	amd64
gettext-base	0.23.2-1	amd64
ghostscript	10.06.0~dfsg-3ubuntu1	amd64
gir1.2-accountsservice-1.0:amd64	23.13.9-8ubuntu5	amd64
gir1.2-adw-1:amd64	1.9.0-0ubuntu1	amd64
gir1.2-atk-1.0:amd64	2.60.0-1	amd64
gir1.2-atspi-2.0:amd64	2.60.0-1	amd64
gir1.2-dbusmenu-glib-0.4:amd64	18.10.20180917~bzr492+repack1-4build1	amd64
gir1.2-dee-1.0:amd64	1.2.7+17.10.20170616-8build1	amd64
gir1.2-freedesktop:amd64	1.86.0-6build1	amd64
gir1.2-gck-2:amd64	4.4.0.1-8	amd64
gir1.2-gcr-4:amd64	4.4.0.1-8	amd64
gir1.2-gdesktopenums-3.0:amd64	50.0-1ubuntu2	amd64
gir1.2-gdkpixbuf-2.0:amd64	2.44.5+dfsg-4ubuntu1	amd64
gir1.2-gdm-1.0	50.0-0ubuntu1	amd64
gir1.2-geoclue-2.0:amd64	2.7.2-2ubuntu3	amd64
gir1.2-girepository-3.0:amd64	2.88.0-1	amd64
gir1.2-glib-2.0:amd64	2.88.0-1	amd64
gir1.2-gmenu-3.0:amd64	3.38.1-1ubuntu1	amd64
gir1.2-gnomeautoar-0.1:amd64	0.4.5-5	amd64
gir1.2-gnomebg-4.0:amd64	44.5-1ubuntu1	amd64
gir1.2-gnomebluetooth-3.0:amd64	47.1-5	amd64
gir1.2-gnomedesktop-3.0:amd64	44.5-1ubuntu1	amd64
